Model,m,Variant,AUROC,Accuracy,Pairwise_Accuracy,Precision,Recall,F1_Score,Pairs,CorrectPairs,Auroc Percentage ,Pairwise Pectengage
./models/graphcodebert-simcse,4,variant_11_full_processed.csv,0.574598133,0.587213891,0.587213891,0.587213891,0.587213891,0.587213891,5068,2976,57%,59%
./models/graphcodebert-simcse,4,variant_12_full_processed.csv,0.590752818,0.602407261,0.602407261,0.602407261,0.602407261,0.602407261,5068,3053,59%,60%
./models/graphcodebert-simcse,4,variant_13_full_processed.csv,0.416824693,0.420564437,0.420564437,0.420564437,0.420564437,0.420564437,5067,2131,42%,42%
./models/graphcodebert-simcse,8,variant_1_full_processed.csv,0.628201176,0.646014207,0.646014207,0.646014207,0.646014207,0.646014207,5068,3274,63%,65%
./models/graphcodebert-simcse,8,variant_4_full_processed.csv,0.623909406,0.636937648,0.636937648,0.636937648,0.636937648,0.636937648,5068,3228,62%,64%
./models/graphcodebert-simcse,8,variant_5_full_processed.csv,0.482369997,0.487766377,0.487766377,0.487766377,0.487766377,0.487766377,5068,2472,48%,49%
./models/graphcodebert-simcse,8,variant_6_full_processed.csv,0.510489038,0.515982636,0.515982636,0.515982636,0.515982636,0.515982636,5068,2615,51%,52%
./models/graphcodebert-simcse,8,variant_7_full_processed.csv,0.623146089,0.621546961,0.621546961,0.621546961,0.621546961,0.621546961,5068,3150,62%,62%
./models/graphcodebert-simcse,8,variant_8_full_processed.csv,0.579019392,0.57568581,0.57568581,0.57568581,0.57568581,0.57568581,5067,2917,58%,58%
./models/graphcodebert-simcse,8,variant_9_full_processed.csv,0.64279885,0.648707322,0.648707322,0.648707322,0.648707322,0.648707322,5067,3287,64%,65%
./models/graphcodebert-simcse,8,variant_10_full_processed.csv,0.509553472,0.504045786,0.504045786,0.504045786,0.504045786,0.504045786,5067,2554,51%,50%
./models/graphcodebert-simcse,8,variant_11_full_processed.csv,0.645768009,0.659629045,0.659629045,0.659629045,0.659629045,0.659629045,5068,3343,65%,66%
./models/graphcodebert-simcse,8,variant_12_full_processed.csv,0.676043963,0.693962115,0.693962115,0.693962115,0.693962115,0.693962115,5068,3517,68%,69%
./models/graphcodebert-simcse,8,variant_13_full_processed.csv,0.445098304,0.449180975,0.449180975,0.449180975,0.449180975,0.449180975,5067,2276,45%,45%
./models/codet5-simcse,2,variant_1_full_processed.csv,0.472992986,0.476124704,0.476124704,0.476124704,0.476124704,0.476124704,5068,2413,47%,48%
./models/codet5-simcse,2,variant_4_full_processed.csv,0.460490993,0.462904499,0.462904499,0.462904499,0.462904499,0.462904499,5068,2346,46%,46%
./models/codet5-simcse,2,variant_5_full_processed.csv,0.418150116,0.411799526,0.411799526,0.411799526,0.411799526,0.411799526,5068,2087,42%,41%
./models/codet5-simcse,2,variant_6_full_processed.csv,0.445796014,0.440607735,0.440607735,0.440607735,0.440607735,0.440607735,5068,2233,45%,44%
./models/codet5-simcse,2,variant_7_full_processed.csv,0.506605878,0.50335438,0.50335438,0.50335438,0.50335438,0.50335438,5068,2551,51%,50%
./models/codet5-simcse,2,variant_8_full_processed.csv,0.51572337,0.514308269,0.514308269,0.514308269,0.514308269,0.514308269,5067,2606,52%,51%
./models/codet5-simcse,2,variant_9_full_processed.csv,0.572314195,0.578054075,0.578054075,0.578054075,0.578054075,0.578054075,5067,2929,57%,58%
./models/codet5-simcse,2,variant_10_full_processed.csv,0.508879339,0.508387606,0.508387606,0.508387606,0.508387606,0.508387606,5067,2576,51%,51%
./models/codet5-simcse,2,variant_11_full_processed.csv,0.468775268,0.469415943,0.469415943,0.469415943,0.469415943,0.469415943,5068,2379,47%,47%
./models/codet5-simcse,2,variant_12_full_processed.csv,0.467574686,0.46961326,0.46961326,0.46961326,0.46961326,0.46961326,5068,2380,47%,47%
./models/codet5-simcse,2,variant_13_full_processed.csv,0.415765665,0.417998816,0.417998816,0.417998816,0.417998816,0.417998816,5067,2118,42%,42%
./models/codet5-simcse,4,variant_1_full_processed.csv,0.534285337,0.537095501,0.537095501,0.537095501,0.537095501,0.537095501,5068,2722,53%,54%
./models/codet5-simcse,4,variant_4_full_processed.csv,0.535874459,0.541041831,0.541041831,0.541041831,0.541041831,0.541041831,5068,2742,54%,54%
./models/codet5-simcse,4,variant_5_full_processed.csv,0.446983106,0.440015785,0.440015785,0.440015785,0.440015785,0.440015785,5068,2230,45%,44%
./models/codet5-simcse,4,variant_6_full_processed.csv,0.476558855,0.476716654,0.476716654,0.476716654,0.476716654,0.476716654,5068,2416,48%,48%
./models/codet5-simcse,4,variant_7_full_processed.csv,0.559038513,0.554459353,0.554459353,0.554459353,0.554459353,0.554459353,5068,2810,56%,55%
./models/codet5-simcse,4,variant_8_full_processed.csv,0.531513149,0.539569765,0.539569765,0.539569765,0.539569765,0.539569765,5067,2734,53%,54%
./models/codet5-simcse,4,variant_9_full_processed.csv,0.593288926,0.60292086,0.60292086,0.60292086,0.60292086,0.60292086,5067,3055,59%,60%
./models/codet5-simcse,4,variant_10_full_processed.csv,0.515555383,0.521215709,0.521215709,0.521215709,0.521215709,0.521215709,5067,2641,52%,52%
./models/codet5-simcse,4,variant_11_full_processed.csv,0.543978588,0.55011839,0.55011839,0.55011839,0.55011839,0.55011839,5068,2788,54%,55%
./models/codet5-simcse,4,variant_12_full_processed.csv,0.56457266,0.564917127,0.564917127,0.564917127,0.564917127,0.564917127,5068,2863,56%,56%
./models/codet5-simcse,4,variant_13_full_processed.csv,0.419203124,0.422340635,0.422340635,0.422340635,0.422340635,0.422340635,5067,2140,42%,42%
./models/codet5-simcse,8,variant_1_full_processed.csv,0.61004142,0.62273086,0.62273086,0.62273086,0.62273086,0.62273086,5068,3156,61%,62%
./models/codet5-simcse,8,variant_4_full_processed.csv,0.60741882,0.605958958,0.605958958,0.605958958,0.605958958,0.605958958,5068,3071,61%,61%
./models/codet5-simcse,8,variant_5_full_processed.csv,0.478511618,0.479676401,0.479676401,0.479676401,0.479676401,0.479676401,5068,2431,48%,48%
./models/codet5-simcse,8,variant_6_full_processed.csv,0.497198226,0.494672455,0.494672455,0.494672455,0.494672455,0.494672455,5068,2507,50%,49%
./models/codet5-simcse,8,variant_7_full_processed.csv,0.594093201,0.598066298,0.598066298,0.598066298,0.598066298,0.598066298,5068,3031,59%,60%
./models/codet5-simcse,8,variant_8_full_processed.csv,0.54725504,0.553384646,0.553384646,0.553384646,0.553384646,0.553384646,5067,2804,55%,55%
./models/codet5-simcse,8,variant_9_full_processed.csv,0.596141407,0.613183343,0.613183343,0.613183343,0.613183343,0.613183343,5067,3107,60%,61%
./models/codet5-simcse,8,variant_10_full_processed.csv,0.510375494,0.522005131,0.522005131,0.522005131,0.522005131,0.522005131,5067,2645,51%,52%
./models/codet5-simcse,8,variant_11_full_processed.csv,0.630635434,0.63792423,0.63792423,0.63792423,0.63792423,0.63792423,5068,3233,63%,64%
./models/codet5-simcse,8,variant_12_full_processed.csv,0.657909456,0.662391476,0.662391476,0.662391476,0.662391476,0.662391476,5068,3357,66%,66%
./models/codet5-simcse,8,variant_13_full_processed.csv,0.465542313,0.463587922,0.463587922,0.463587922,0.463587922,0.463587922,5067,2349,47%,46%
